SoCal synchronized event-window measurement shift audit
date=2026-07-02
role=real-measurement synchronized event audit; not a ground-truth posterior benchmark
measurement_window=2024-11-14T07:00:00 to 2024-11-14T07:30:42 UTC
measurement_rows_after_asof_merge=1843
event_count=4
events
device,event_utc,state
cb_121,2024-11-14T07:09:00,NC
cb_123,2024-11-14T07:20:05,NC
cb_128,2024-11-14T07:20:21,NO
swmp_17-2,2024-11-14T07:30:42,NC
feature_shift_rows
device,event_utc,state,window_sec,feature,pre_n,post_n,pre_mean,post_mean,delta,std_delta
cb_128,2024-11-14T07:20:21,NO,300,magnitude_harmonic_2,300,301,1653.34,2503.27,849.93,0.904735
swmp_17-2,2024-11-14T07:30:42,NC,60,mains_v,60,1,294.115,294.807,0.69175,nan
swmp_17-2,2024-11-14T07:30:42,NC,60,frequency,60,1,59.97,59.97,-7.10543e-15,nan
swmp_17-2,2024-11-14T07:30:42,NC,60,rms,60,1,388.49,391.479,2.98865,nan
swmp_17-2,2024-11-14T07:30:42,NC,60,magnitude_harmonic_0,60,1,669954,675349,5395.13,nan
swmp_17-2,2024-11-14T07:30:42,NC,60,magnitude_harmonic_1,60,1,1707.54,1791.83,84.2967,nan
swmp_17-2,2024-11-14T07:30:42,NC,60,magnitude_harmonic_2,60,1,3183.66,3961.24,777.58,nan
swmp_17-2,2024-11-14T07:30:42,NC,180,mains_v,180,1,294.97,294.807,-0.163461,nan
swmp_17-2,2024-11-14T07:30:42,NC,180,frequency,180,1,59.9681,59.97,0.00189753,nan
swmp_17-2,2024-11-14T07:30:42,NC,180,rms,180,1,389.692,391.479,1.78743,nan
swmp_17-2,2024-11-14T07:30:42,NC,180,magnitude_harmonic_0,180,1,672075,675349,3273.25,nan
swmp_17-2,2024-11-14T07:30:42,NC,180,magnitude_harmonic_1,180,1,2018.17,1791.83,-226.34,nan
swmp_17-2,2024-11-14T07:30:42,NC,180,magnitude_harmonic_2,180,1,3289.14,3961.24,672.096,nan
swmp_17-2,2024-11-14T07:30:42,NC,300,mains_v,300,1,296.147,294.807,-1.34036,nan
swmp_17-2,2024-11-14T07:30:42,NC,300,frequency,300,1,59.9676,59.97,0.00239688,nan
swmp_17-2,2024-11-14T07:30:42,NC,300,rms,300,1,390.631,391.479,0.848023,nan
swmp_17-2,2024-11-14T07:30:42,NC,300,magnitude_harmonic_0,300,1,673777,675349,1571.3,nan
swmp_17-2,2024-11-14T07:30:42,NC,300,magnitude_harmonic_1,300,1,2112.04,1791.83,-320.205,nan
swmp_17-2,2024-11-14T07:30:42,NC,300,magnitude_harmonic_2,300,1,3192.24,3961.24,768.997,nan
event_level_max_abs_standardized_shift
device,event_utc,max_abs_std_delta,feature,window_sec
cb_121,2024-11-14T07:09:00,2.2848,magnitude_harmonic_0,300
cb_123,2024-11-14T07:20:05,1.6433,magnitude_harmonic_0,60
cb_128,2024-11-14T07:20:21,2.1828,rms,60
