119-bus BOED dropout-stress audit
date=2026-07-03
role=adaptive sensing decision-value under post-selection sensor dropout
not_claimed=installation cost modeling
N_TEST=90
N_MC=32
K_REPORT=5 7 10
drop_rates=0.0 0.2 0.4
per_setting_metrics
drop_rate,metric,method_or_delta,K,mean,ci95_low,ci95_high
0.2,accuracy_delta_BOED_minus_AdaptiveFisher,AdaptiveBOED-AdaptiveFisher,7,0.111111,-0.011111,0.222222
0.2,accuracy,Random,10,0.288889,0.200000,0.388889
0.2,accuracy,AdaptiveMVG,10,0.711111,0.622222,0.800278
0.2,accuracy,AdaptiveFisher,10,0.622222,0.533056,0.733333
0.2,accuracy,AdaptiveBOED,10,0.744444,0.644444,0.822500
0.2,entropy,Random,10,2.604440,2.319998,2.888754
0.2,entropy,AdaptiveMVG,10,1.030033,0.745947,1.334467
0.2,entropy,AdaptiveFisher,10,1.349255,1.044482,1.662528
0.2,entropy,AdaptiveBOED,10,0.704814,0.500999,0.940154
0.2,kept_sensors,Random,10,7.900000,7.644167,8.178056
0.2,kept_sensors,AdaptiveMVG,10,8.077778,7.821944,8.322222
0.2,kept_sensors,AdaptiveFisher,10,7.977778,7.688889,8.288889
0.2,kept_sensors,AdaptiveBOED,10,8.244444,8.033333,8.466667
0.2,accuracy_delta_BOED_minus_Random,AdaptiveBOED-Random,10,0.455556,0.333056,0.566667
0.2,accuracy_delta_BOED_minus_AdaptiveMVG,AdaptiveBOED-AdaptiveMVG,10,0.033333,-0.044444,0.122222
0.2,accuracy_delta_BOED_minus_AdaptiveFisher,AdaptiveBOED-AdaptiveFisher,10,0.122222,0.022222,0.211111
drop_rate_summary=0.2
accuracy_auc_BOED=0.570370
accuracy_auc_MVG=0.474074
accuracy_auc_Fisher=0.455556
accuracy_auc_Random=0.200000
0.4,accuracy,Random,5,0.088889,0.033333,0.155556
0.4,accuracy,AdaptiveMVG,5,0.222222,0.144444,0.311111
0.4,accuracy,AdaptiveFisher,5,0.255556,0.166667,0.355556
0.4,accuracy,AdaptiveBOED,5,0.266667,0.188611,0.366667
0.4,entropy,Random,5,3.618184,3.328172,3.868267
0.4,entropy,AdaptiveMVG,5,3.052667,2.713523,3.361810
0.4,entropy,AdaptiveFisher,5,2.779152,2.430954,3.134253
0.4,entropy,AdaptiveBOED,5,2.508638,2.185371,2.860681
0.4,kept_sensors,Random,5,2.866667,2.644444,3.088889
0.4,kept_sensors,AdaptiveMVG,5,2.955556,2.722222,3.222500
0.4,kept_sensors,AdaptiveFisher,5,2.977778,2.755556,3.188889
0.4,kept_sensors,AdaptiveBOED,5,2.866667,2.655556,3.078056
0.4,accuracy_delta_BOED_minus_Random,AdaptiveBOED-Random,5,0.177778,0.077500,0.277778
0.4,accuracy_delta_BOED_minus_AdaptiveMVG,AdaptiveBOED-AdaptiveMVG,5,0.044444,-0.077778,0.166667
0.4,accuracy_delta_BOED_minus_AdaptiveFisher,AdaptiveBOED-AdaptiveFisher,5,0.011111,-0.100000,0.144444
0.4,accuracy,Random,7,0.133333,0.066667,0.222222
0.4,accuracy,AdaptiveMVG,7,0.377778,0.277778,0.477778
0.4,accuracy,AdaptiveFisher,7,0.344444,0.255556,0.444444
0.4,accuracy,AdaptiveBOED,7,0.477778,0.366667,0.566667
0.4,entropy,Random,7,3.306338,3.021944,3.576824
0.4,entropy,AdaptiveMVG,7,2.111445,1.751022,2.445617
0.4,entropy,AdaptiveFisher,7,2.366183,2.031893,2.706235
0.4,entropy,AdaptiveBOED,7,1.695743,1.382417,2.019574
0.4,kept_sensors,Random,7,4.133333,3.877778,4.388889
0.4,kept_sensors,AdaptiveMVG,7,4.355556,4.088611,4.655556
0.4,kept_sensors,AdaptiveFisher,7,4.222222,3.944444,4.489167
0.4,kept_sensors,AdaptiveBOED,7,4.344444,4.055556,4.611111
0.4,accuracy_delta_BOED_minus_Random,AdaptiveBOED-Random,7,0.344444,0.211111,0.455833
0.4,accuracy_delta_BOED_minus_AdaptiveMVG,AdaptiveBOED-AdaptiveMVG,7,0.100000,-0.044444,0.233333
0.4,accuracy_delta_BOED_minus_AdaptiveFisher,AdaptiveBOED-AdaptiveFisher,7,0.133333,-0.000278,0.255833
0.4,accuracy,Random,10,0.233333,0.144444,0.322222
0.4,accuracy,AdaptiveMVG,10,0.577778,0.477500,0.677778
0.4,accuracy,AdaptiveFisher,10,0.477778,0.377778,0.588889
0.4,accuracy,AdaptiveBOED,10,0.577778,0.477500,0.677778
0.4,entropy,Random,10,2.812042,2.512227,3.079621
0.4,entropy,AdaptiveMVG,10,1.522930,1.215321,1.890539
0.4,entropy,AdaptiveFisher,10,1.776334,1.455514,2.094044
0.4,entropy,AdaptiveBOED,10,1.466385,1.191193,1.766918
0.4,kept_sensors,Random,10,6.122222,5.822222,6.433611
0.4,kept_sensors,AdaptiveMVG,10,5.977778,5.644444,6.266667
0.4,kept_sensors,AdaptiveFisher,10,6.066667,5.755278,6.400278
0.4,kept_sensors,AdaptiveBOED,10,5.922222,5.588611,6.266944
0.4,accuracy_delta_BOED_minus_Random,AdaptiveBOED-Random,10,0.344444,0.222222,0.466667
0.4,accuracy_delta_BOED_minus_AdaptiveMVG,AdaptiveBOED-AdaptiveMVG,10,0.000000,-0.111111,0.122222
0.4,accuracy_delta_BOED_minus_AdaptiveFisher,AdaptiveBOED-AdaptiveFisher,10,0.100000,-0.044444,0.233333
drop_rate_summary=0.4
accuracy_auc_BOED=0.440741
accuracy_auc_MVG=0.392593
accuracy_auc_Fisher=0.359259
accuracy_auc_Random=0.151852
elapsed_sec=204.0
